Name,Type,Nation,Epoch
"Voisin XII","Bomber","Франция","World War I"
"Zeppelin-Staaken R-IV/R-VI/R-XIV","Bomber","Германия (WWI)","World War I"
"Сикорский С.XIX Двухвостка","Attack","Российская Империя","World War I"
"AEG J.I/J.II","Attack","Германия (WWI)","World War I"
"AEG PE/DJ.I","Attack","Германия (WWI)","World War I"
"Aeromarine PG-1","Attack","США","World War I"
"AGO S.I","Attack","Германия (WWI)","World War I"
"Albatros J.I/J.II","Attack","Австро-Венгрия","World War I"
"BFW CL.III","Attack","Германия (WWI)","World War I"
"Boeing Model 10 (GA-1/GA-2)","Attack","США","World War I"
"Halberstadt CL.II/CL.IV","Attack","Германия (WWI)","World War I"
"Hannover CL.II/CL.III/CL.V","Attack","Германия (WWI)","World War I"
"Junkers J.I","Attack","Германия (WWI)","World War I"
"Junkers J.8/J.10 (CL.I)","Attack","Германия (WWI)","World War I"
"Liore et Olivier LeO 5/LeO 7","Attack","Франция","World War I"
"RAF AE.3 Ram","Attack","Великобритания","World War I"
"Salmson 4","Attack","Франция","World War I"
"Schneider Henri-Paul S.3","Attack","Франция","World War I"
"Sopwith TF.2 Salamander","Attack","Великобритания","World War I"
"Сикорский Гранд/Русский Витязь","Transport","Другие","World War I"
"Bleriot XXIV","Transport","Другие","World War I"
"Lawson S.2","Transport","Lawson Air Line Company","World War I"
"Анатра Анаде/Анасаль","Other","Австро-Венгрия","World War I"
"Ader Eole/Avion III","Other","Частные","World War I"
"AEG B.I/II/II/C.IV","Other","Германия (WWI)","World War I"
"AGO C.I/C.II/C.III","Other","Германия (WWI)","World War I"
"AGO C.IV","Other","Германия (WWI)","World War I"
"Airco DH.6","Other","Великобритания","World War I"
"Albatros MZ","Other","Болгария","World War I"
"Albatros B.I/B.II/B.III","Other","Австро-Венгрия","World War I"
"Albatros C.I/C.III/C.IV/C.V/C.VII/C.VIII/C.X/C.XII/C.XV","Other","Болгария","World War I"
"Ansaldo SVA.3/5/9/10 Primo","Other","Италия","World War I"
"Antoinette VI/VII","Other","Италия","World War I"
"Armstrong Whitworth FK.3 Little Ack","Other","Болгария","World War I"
"Armstrong Whitworth FK.8 Big Ack","Other","Великобритания","World War I"
"Asen Jordanov 1","Other","Болгария","World War I"
"Aviatik B.I/B.II/C.I/C.III","Other","Австро-Венгрия","World War I"
"Aviatik-Berg B.III","Other","Австро-Венгрия","World War I"
"Aviatik-Berg C.I","Other","Австро-Венгрия","World War I"
"Avro Triplane","Other","Другие","World War I"
"Avro Type D","Other","Великобритания","World War I"
"Avro Type F","Other","Другие","World War I"
"Avro 504/K1Y","Other","Бельгия","World War I"
"Bleriot XI","Other","Бельгия","World War I"
"Breguet III","Other","Таиланд","World War I"
"Breguet BM.II/IV","Other","Франция","World War I"
"Bristol Baby (Scout)","Other","Великобритания","World War I"
"Bristol Prier-Dickson Monoplane","Other","Турция (Османская Империя)","World War I"
"Castaibert 910/911/912/913/914/915","Other","Уругвай","World War I"
"Caudron G.III","Other","Бельгия","World War I"
"Caudron G.IV","Other","СССР/Россия","World War I"
"Curtiss JN/CN/JN-4/CN-4 Jenny","Other","Великобритания","World War I"
"Curtiss Pusher","Other","Другие","World War I"
"Curtiss R-2/R-3/R-4/R-6/R-7/R-9","Other","Великобритания","World War I"
"Deperdussin type B/TT","Other","Германия (WWI)","World War I"
"DFW B.I/C.I/C.II","Other","Австро-Венгрия","World War I"
"DFW C.IV/C.V/C.VI","Other","Болгария","World War I"
"Dorand AR.1/AR.2","Other","Греция","World War I"
"Dufaux 4/5","Other","Частные","World War I"
"Dufaux C.1","Other","Франция","World War I"
"Dumont 14-bis","Other","Другие","World War I"
"Dumont Demoiselle","Other","Другие","World War I"
"Etrich Taube A.I/A.II","Other","Австро-Венгрия","World War I"
"Farman III/IV/VII Biplane/Boxkite","Other","Болгария","World War I"
"Farman F-11/20/21/22/23","Other","Бельгия","World War I"
"Farman F.30/F.40","Other","Дальневосточная Республика","World War I"
"Farman MF.4","Other","Португалия","World War I"
"Farman MF.11","Other","Великобритания","World War I"
"Fokker B.I/M.7/M.10","Other","Австро-Венгрия","World War I"
"FVM S.18","Other","Швеция","World War I"
"Grandjean L/W","Other","Швейцария","World War I"
"Haefeli DH-2/DH-3","Other","Швейцария","World War I"
"Halberstadt C.V","Other","Литва","World War I"
"Hansa-Brandenburg B.I/C.I","Other","Австро-Венгрия","World War I"
"Hanriot Hanriot-Pagny","Other","Частные","World War I"
"Harlan Eindecker Monoplane","Other","Турция (Османская Империя)","World War I"
"Junkers J.1","Other","Германия (WWI)","World War I"
"Knoller C.II","Other","Австро-Венгрия","World War I"
"Kozlowski 1910","Other","Другие","World War I"
"LFG Roland C.II","Other","Германия (WWI)","World War I"
"Lloyd C.II/C.III","Other","Австро-Венгрия","World War I"
"Lloyd C.V","Other","Австро-Венгрия","World War I"
"Lohner B.I/B.II/B.IV/B.VI/B.VII/C.I","Other","Австро-Венгрия","World War I"
"LVG B.I/B.II/C.I/C.II/C.III","Other","Болгария","World War I"
"LVG C.V/C.VI","Other","Германия (WWI)","World War I"
"LWF Model V Tractor","Other","Россия (Белые)","World War I"
"Martin-Handasyde Monoplane","Other","Великобритания","World War I"
"Martinsyde G.100/G.102 Elephant","Other","Австралия","World War I"
"Mersey Monoplane","Other","Великобритания","World War I"
"Morane-Saulnier Monoplan","Other","Частные","World War I"
"Morane-Saulnier P","Other","Российская Империя","World War I"
"Nieuport IV/VI","Other","Великобритания","World War I"
"Nieuport 14/15/82","Other","Бразилия","World War I"
"Oeffag C.I/C.II","Other","Австро-Венгрия","World War I"
"Phillips Multiplane 1904","Other","Частные","World War I"
"Phonix C.I","Other","Австро-Венгрия","World War I"
"PMBRA Seishiki-2","Other","Другие","World War I"
"RAF BE.2","Other","Бельгия","World War I"
"RAF RE.7","Other","Великобритания","World War I"
"RAF RE.8","Other","Австралия","World War I"
"REP N","Other","Турция (Османская Империя)","World War I"
"REP Parasol","Other","Нидерланды","World War I"
"Rumpler B.I/C.I/C.IV/Rubild","Other","Германия (WWI)","World War I"
"Salmson 2","Other","Польша","World War I"
"Schindler Wagon SWS C.1","Other","Швейцария","World War I"
"SIA SIA.7/9","Other","Италия","World War I"
"Sodertelge Verkstader SW.16","Other","Швеция","World War I"
"Sopwith Tabloid","Other","Великобритания","World War I"
"Svenska Aero Bastarden","Other","Швеция","World War I"
"Thomas-Morse S-4 Scout","Other","США","World War I"
"Thulin E/L","Other","Швеция","World War I"
"Thulin K","Other","Швеция","World War I"
"Whitehead No.21","Other","Частные","World War I"
"Wright Model C/C-H/J/D","Other","США","World War I"
"Wright Flyer I","Other","Другие","World War I"
"Гаккель V","Sea","Российская Империя","World War I"
"Григорович М-5","Sea","Российская Империя","World War I"
"Григорович М-9/М-15","Sea","Российская Империя","World War I"
"Григорович М-16","Sea","Российская Империя","World War I"
"Aeromarine Model 700","Sea","США","World War I"
"Air Department AD.1 Navyplane","Sea","Великобритания","World War I"
"Air Department AD Flying Boat/Channel","Sea","Великобритания","World War I"
"Albatros W.IV","Sea","Германия (WWI)","World War I"
"Astra Hydroplane","Sea","Греция","World War I"
"Benoist XIV","Sea","St.Petersburg-Tampa Airboat Line","World War I"
"Burgess Burgess-Dunne No.3","Sea","США","World War I"
"Curtiss Model E/A-1 Triad","Sea","США","World War I"
"Curtiss Model F","Sea","Российская Империя","World War I"
"Curtiss Model H","Sea","Великобритания","World War I"
"Curtiss Model HS","Sea","Бразилия","World War I"
"Curtiss NC","Sea","США","World War I"
"Curtiss N-9/N-9H","Sea","США","World War I"
"Donnet-Leveque Type A","Sea","Швеция","World War I"
"Fabre Hydravion/Le Canard","Sea","Другие","World War I"
"Fairey F.16/F.17/F.22 Campania","Sea","Великобритания","World War I"
"Felixstowe F.2/F.3/F.5","Sea","Великобритания","World War I"
"Friedrichshafen FF.33/39/49/59","Sea","Болгария","World War I"
"Hansa-Brandenburg CC","Sea","Австро-Венгрия","World War I"
"Hansa-Brandenburg KDW/W.11/W.25","Sea","Германия (WWI)","World War I"
"Hansa-Brandenburg W.12","Sea","Германия (WWI)","World War I"
"Hansa-Brandenburg W.18","Sea","Австро-Венгрия","World War I"
"Hansa-Brandenburg W.29/W.33","Sea","Дания","World War I"
"Lohner E/L/T/Mkn","Sea","Австро-Венгрия","World War I"
"Lubeck Travemunde F.4","Sea","Польша","World War I"
"Macchi M.3/M.5/M.7","Sea","Италия","World War I"
"Oeffag H","Sea","Австро-Венгрия","World War I"
"Oertz FB.3","Sea","Германия (WWI)","World War I"
"Pemberton-Billing PB.1","Sea","Другие","World War I"
"Phonix A","Sea","Австро-Венгрия","World War I"
"Savoia Marchetti S.9/S.12","Sea","Италия","World War I"
"Short S.80/81/166/184/827/830","Sea","Бельгия","World War I"
"Schreck-FBA Type A/B/C/H/S","Sea","Бельгия","World War I"
"Sopwith Bat Boat","Sea","Другие","World War I"
"Sopwith Schneider/Baby","Sea","Великобритания","World War I"
"Tellier T.3","Sea","Португалия","World War I"
"Voisin Canar","Sea","Российская Империя","World War I"
"Yokosuka Ro-go Ko-gata","Sea","Япония","World War I"
"Zeppelin CS.1","Sea","Германия (WWI)","World War I"
"Балтийский завод Гигантъ","Special","Российская Империя","World War I"
"Кибальчич Ракетолёт","Special","Российская Империя","World War I"
"Caco Caco","Special","Украина","World War I"
"Coanda 1910","Special","Другие","World War I"
"Dumont Airship No.6","Special","Частные","World War I"
"Lilienthal Glider","Special","Частные","World War I"
"Deperdussin Monocoque","Special","Другие","World War I"
"Montgolfier brothers Montgolfiere","Special","Другие","World War I"
"Parseval PL.6","Special","Германия (WWI)","World War I"
"Parseval Sigsfeld","Special","Российская Империя","World War I"
"Schuette-Lanz SL.1/SL.2","Special","Германия (WWI)","World War I"
"Zeppelin LZ.1/LZ.4/LZ.41/LZ.104","Special","Германия (WWI)","World War I"
"Cornu Helicotper","Helicopter","Частные","World War I"
"Petroczy-Karman-Zurovec PKZ.2","Helicopter","Другие","World War I"
"Боровков и Фролов И-207","Fighter","СССР/Россия","Interwar"
"Григорович И-2","Fighter","СССР/Россия","Interwar"
"Григорович ИП-1","Fighter","СССР/Россия","Interwar"
"Кочеригин и Яценко Ди-6","Fighter","СССР/Россия","Interwar"
"Поликарпов И-1/Ил-400/ИЛ-2/ИЛ-3","Fighter","СССР/Россия","Interwar"
"Поликарпов И-3","Fighter","СССР/Россия","Interwar"
"Поликарпов И-5","Fighter","СССР/Россия","Interwar"
"Поликарпов И-15/И-152 (И-15бис)","Fighter","Испания (республика)","Interwar"
"Поликарпов И-153 Чайка","Fighter","Германия (нацисты)","Interwar"
"Поликарпов И-17","Fighter","СССР/Россия","Interwar"
"Туполев ДИП (АНТ-29)","Fighter","СССР/Россия","Interwar"
"Туполев И-4 (АНТ-5)","Fighter","СССР/Россия","Interwar"
"Туполев И-8 (АНТ-13)","Fighter","Другие","Interwar"
"Туполев И-14","Fighter","СССР/Россия","Interwar"
"Яценко И-28","Fighter","СССР/Россия","Interwar"
"Aero Ae-02","Fighter","Чехословакия","Interwar"
"Aero A-18","Fighter","Чехословакия","Interwar"
"Aero A-102","Fighter","Чехословакия","Interwar"
"ANF-Les Mureaux 113/115/117","Fighter","Франция","Interwar"
"Arado Ar.65","Fighter","Болгария","Interwar"
"Arado Ar.68","Fighter","Германия (нацисты)","Interwar"
"Arado Ar.80","Fighter","Германия (нацисты)","Interwar"
"Armstrong Whitworth AW.16","Fighter","Китай (клика Гуанси)","Interwar"
"Armstrong Whitworth AW.35 Scimitar","Fighter","Норвегия","Interwar"
"Armstrong Whitworth Siskin","Fighter","Великобритания","Interwar"
"Avia BH-3","Fighter","Чехословакия","Interwar"
"Avia BH-7","Fighter","Чехословакия","Interwar"
"Avia BH-21","Fighter","Бельгия","Interwar"
"Avia BH-33/Ba-33","Fighter","Бельгия","Interwar"
"Avia B.34","Fighter","Словакия","Interwar"
"Bellanca 28-70/28-90","Fighter","Китай (националисты)","Interwar"
"Berliner-Joyce P-16/PB-1","Fighter","США","Interwar"
"Blackburn Lincock","Fighter","Китай (националисты)","Interwar"
"Blackburn B-24 Skua","Fighter","Великобритания","Interwar"
"Bleriot-SPAD S.51","Fighter","Испания (республика)","Interwar"
"Bleriot-SPAD S.61","Fighter","Польша","Interwar"
"Bleriot-SPAD S.81","Fighter","Франция","Interwar"
"Bleriot-SPAD S.510","Fighter","Франция","Interwar"
"Boeing F2B","Fighter","США","Interwar"
"Boeing F3B","Fighter","США","Interwar"
"Boeing P-12/F4B","Fighter","Бразилия","Interwar"
"Boeing XP-15/XF5B","Fighter","Другие","Interwar"
"Boeing P-26 Peashooter","Fighter","Гватемала","Interwar"
"Boeing PW-9/FB1/FB4/FB5","Fighter","США","Interwar"
"Boulton & Paul P.31 Bittern","Fighter","Великобритания","Interwar"
"Breda Ba.27 Metallico","Fighter","Италия (фашисты)","Interwar"
"Bristol Bulldog","Fighter","Австралия","Interwar"
"Canadain Car Foundry (CCF) FDB-1","Fighter","Другие","Interwar"
"Caudron-Renault CR.714 Cyclone","Fighter","Франция","Interwar"
"Chance Vought F2U","Fighter","США","Interwar"
"Chance Vought F3U","Fighter","США","Interwar"
"Comte AC-1","Fighter","Швейцария","Interwar"
"Consolidated P-30/PB-2","Fighter","США","Interwar"
"Curtiss-Wright PW-8","Fighter","США","Interwar"
"Curtiss-Wright F8C/O-1/D-12 Falcon","Fighter","Боливия","Interwar"
"Curtiss-Wright F6C/P-1 Hawk","Fighter","США","Interwar"
"Curtiss-Wright F7C Seahawk","Fighter","США","Interwar"
"Curtiss-Wright F9C Sparrowhawk","Fighter","США","Interwar"
"Curtiss-Wright Hawk II/III/Goshawk/P-6/F11C/BFC-2/BF2C","Fighter","Аргентина","Interwar"
"Curtiss-Wright XF12C","Fighter","США","Interwar"
"Dewoitine D.1/AC.2","Fighter","Франция","Interwar"
"Dewoitine D.9/AC.3","Fighter","Швейцария","Interwar"
"Dewoitine D.19","Fighter","Швейцария","Interwar"
"Dewoitine D.27/D.53","Fighter","Испания (республика)","Interwar"
"Dewoitine D.37/D.372","Fighter","Испания (республика)","Interwar"
"Dewoitine D.500/D.510","Fighter","Венесуэла","Interwar"
"Douglas XFD-1","Fighter","США","Interwar"
"Fairey Fantome/Feroce","Fighter","Другие","Interwar"
"Fairey Firefly (первый)","Fighter","Бельгия","Interwar"
"Fairey Flycatcher","Fighter","Великобритания","Interwar"
"Fairey Fox/Seafox","Fighter","Бельгия","Interwar"
"Fiat CR.1","Fighter","Италия (фашисты)","Interwar"
"Fiat CR.20 Asso/Idro","Fighter","Австрия","Interwar"
"Fiat CR.32","Fighter","Австрия","Interwar"
"Focke-Wulf Fw.56 Stosser","Fighter","Австрия","Interwar"
"Focke-Wulf Fw.57","Fighter","Германия (нацисты)","Interwar"
"Fokker D.XI/PW-7","Fighter","Швейцария","Interwar"
"Fokker D.XIII","Fighter","Германия (Веймарская Республика)","Interwar"
"Fokker D.XVII","Fighter","Нидерланды","Interwar"
"Gloster Gamecock","Fighter","Великобритания","Interwar"
"Gloster Gauntlet","Fighter","Австралия","Interwar"
"Gloster Gladiator","Fighter","Бельгия","Interwar"
"Gloster Grebe","Fighter","Великобритания","Interwar"
"Gloster Mars/Sparrowhawk/Nighthawk","Fighter","Великобритания","Interwar"
"Grumman FF-1/SF-1/G-23 Goblin/Delfin","Fighter","Испания (республика)","Interwar"
"Grumman F2F/F3F/G-22/G-32/UC-103","Fighter","США","Interwar"
"Hawker Demon","Fighter","Австралия","Interwar"
"Hawker Fury","Fighter","Великобритания","Interwar"
"Hawker Nimrod","Fighter","Великобритания","Interwar"
"Hawker Osprey","Fighter","Великобритания","Interwar"
"Hawker Woodcock","Fighter","Великобритания","Interwar"
"Heinkel HD.23","Fighter","Япония","Interwar"
"Heinkel HD.37/И-7","Fighter","СССР/Россия","Interwar"
"Heinkel He.51","Fighter","Болгария","Interwar"
"Heinkel He.74","Fighter","Германия (нацисты)","Interwar"
"Heinkel He.100","Fighter","Германия (нацисты)","Interwar"
"Ikarus IK-2","Fighter","Хорватия","Interwar"
"Junkers K.47","Fighter","Китай (националисты)","Interwar"
"Kawasaki KDA-5/Type 92","Fighter","Япония","Interwar"
"Kawasaki Ki-5","Fighter","Япония","Interwar"
"Kawasaki Ki-10 Perry","Fighter","Япония","Interwar"
"Koolhoven FK.58","Fighter","Нидерланды","Interwar"
"Letov S.20","Fighter","Литва","Interwar"
"Letov S.31/S.131","Fighter","Испания (республика)","Interwar"
"Letov S.231/S.331","Fighter","Испания (республика)","Interwar"
"Loire-Gourdou-Lesseure GL-21/GL-22","Fighter","Латвия","Interwar"
"Loire-Gourdou-Lesseure LGL-32/GL-633","Fighter","Испания (республика)","Interwar"
"Loire 43/45/46","Fighter","Испания (республика)","Interwar"
"Martinsyde F.4/ADC.1 Buzzard","Fighter","Бельгия","Interwar"
"Mitsubishi 1MF","Fighter","Япония","Interwar"
"Mitsubishi A5M Claude/Sandy","Fighter","СССР/Россия","Interwar"
"Mitsubishi Ka-8","Fighter","Япония","Interwar"
"Mitsubishi Ka-14","Fighter","Япония","Interwar"
"Mitsubishi Ki-18","Fighter","Япония","Interwar"
"Mitsubishi Ki-33","Fighter","Япония","Interwar"
"Morane-Saulnier MS.225/226/227/275/278","Fighter","Франция","Interwar"
"Nakajima A1N/Gambet","Fighter","Япония","Interwar"
"Nakajima A2N","Fighter","Япония","Interwar"
"Nakajima A4N","Fighter","Япония","Interwar"
"Nakajima Ki-8","Fighter","Япония","Interwar"
"Nakajima Ki-11","Fighter","Япония","Interwar"
"Nakajima Ki-27 Nate/Clint","Fighter","Китай (Маньчжоу-Го)","Interwar"
"Nakajima NAF-2","Fighter","Япония","Interwar"
"Nakajima Type 91","Fighter","Китай (клика Гуанси)","Interwar"
"Nieuport-Delage NiD-29","Fighter","Италия (фашисты)","Interwar"
"Nieuport-Delage NiD-42/52/62/72","Fighter","Бельгия","Interwar"
"Northrop XFT","Fighter","США","Interwar"
"Parnall Plover","Fighter","Великобритания","Interwar"
"PWS PWS-10","Fighter","Испания (националисты)","Interwar"
"PWS Z-17 Sep","Fighter","Польша","Interwar"
"PZL P.1/P.6/P.7","Fighter","Германия (нацисты)","Interwar"
"PZL P.8/P.9","Fighter","Польша","Interwar"
"PZL P.11","Fighter","Венгрия","Interwar"
"PZL P.24","Fighter","Болгария","Interwar"
"Seversky P-35/2PA/AT-12 Guardsman","Fighter","США","Interwar"
"Seversky FN-1","Fighter","США","Interwar"
"SIAI-Marchetti S.50/MVT","Fighter","Другие","Interwar"
"SPAD S.XX","Fighter","Франция","Interwar"
"Svenska Aero SA-11/J5/J6 Jaktfalken","Fighter","Финляндия","Interwar"
"Thomas-Morse MB-3","Fighter","США","Interwar"
"Tokorozawa Koshiki-2","Fighter","Япония","Interwar"
"Vickers Type 143 Scout","Fighter","Боливия","Interwar"
"Vickers Type 151 Jockey/Type 279 Venom","Fighter","Великобритания","Interwar"
"Waco 240","Fighter","Китай (Кантон)","Interwar"
"Wibault Wib 7/72/Vickers Type 121 Scout","Fighter","Парагвай","Interwar"
"Калинин К-7","Bomber","СССР/Россия","Interwar"
"Калинин К-12","Bomber","СССР/Россия","Interwar"
"Колпаков-Мирошниченко 2Б-Л1","Bomber","СССР/Россия","Interwar"
"Поликарпов ТБ-2","Bomber","СССР/Россия","Interwar"
"Туполев ДБ-2 (АНТ-37)","Bomber","СССР/Россия","Interwar"
"Туполев Р-6/АНТ-7/ПС-7","Bomber","СССР/Россия","Interwar"
"Туполев Р-7/АНТ-10","Bomber","Другие","Interwar"
"Туполев СБ/B.71","Bomber","Болгария","Interwar"
"Туполев ТБ-1 (АНТ-4)","Bomber","СССР/Россия","Interwar"
"Туполев ТБ-3 (АНТ-6)","Bomber","Китай (националисты)","Interwar"
"Туполев ТБ-4 (АНТ-16)","Bomber","СССР/Россия","Interwar"
"Aero A-42","Bomber","Чехословакия","Interwar"
"Aero A-100/A-101","Bomber","Германия (нацисты)","Interwar"
"Aero A-300","Bomber","Чехословакия","Interwar"
"Aero A-304","Bomber","Германия (нацисты)","Interwar"
"Aichi AB-8","Bomber","Япония","Interwar"
"Aichi D1A Susie","Bomber","Япония","Interwar"
"Amiot 122","Bomber","Франция","Interwar"
"Amiot 143","Bomber","Франция","Interwar"
"Arado Ar.81","Bomber","Германия (нацисты)","Interwar"
"ASW Boripatra/Boripatr/Paribatra","Bomber","Таиланд","Interwar"
"Avro 549 Aldershot","Bomber","Великобритания","Interwar"
"Blackburn B-5 Baffin","Bomber","Великобритания","Interwar"
"Blackburn B-6 Shark","Bomber","Великобритания","Interwar"
"Blackburn T.1/T.2 Swift/Dart","Bomber","Великобритания","Interwar"
"Bleriot 127","Bomber","Франция","Interwar"
"Bloch MB.131/MB.134","Bomber","Германия (нацисты)","Interwar"
"Bloch MB.200","Bomber","Болгария","Interwar"
